"","uniqueID","NDVI","PRI","NDWI","fname.x","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date.y","LWC","Water_Pot","Leaf_T","Air_T","Delta_T","VPD","Genotype","Average_Thickness","Par_Total","Wind_Speed","ratio","Obs","Ci","Trmmol","Cond","Photo","QC","Plant_ID","date"
"25","e04-2016-06-09",0.805366932512112,0.00998405615475134,0.0565710188917655,"b2_pop_e04_aci_mb_06_09_2016",99.91960296,157.3426689,0.669301205,8.070142358,5.431684534,0.899008614,"2016-06-09",1.737,-0.25,29.33333333,30.99,-1.65666667,5.652529837,"R-270",0.333333333,557.0929,1.132,0.635044541055195,1,273,8.92,0.564,25,1,"e04",2016-06-09
"26","e04-2016-06-16",0.759483485653707,-0.0379234252976584,0.050175577429803,"b2_pop_e04_aci_af_06_16_2016",59.47098113,158.1757512,2.808681243,1.390002116,2.490434206,0.384928675,"2016-06-16",1.939,-0.5,29,30.91,-1.91,6.983322907,"R-270",0.22,574.5063,3.072,0.375980393194428,1,256,5.35,0.193,12.7,-1,"e04",2016-06-16
"27","e04-2016-06-24",0.735249458441148,-0.00212541688953037,0.0441491867332527,"b2_pop_e04_aci_dl_06_24_2016",57.28555222,120.6656006,1.386064397,0.870116358,1.044232702,0.179679379,"2016-06-24",2,-0.33,28.5,33.6,-5.1,6.418864133,"R-270",0.28,736.6464,2.966,0.474746339761723,1,266,5.61,0.217,12.9,-1,"e04",2016-06-24
"28","e04-2016-06-28",0.783315447511082,0.0133138916918359,0.0454533458497078,"b2_pop_e04_aci_af_06_28_2016",73.9203981,148.6211295,1.674680958,7.03650289,6.048213386,1.019213158,"2016-06-28",1.824,-0.4,36.5,35.55,0.95,6.641062354,"R-270",0.243333333,361.1764,1.894,0.497374756528142,1,209,4.16,0.115,11,-1,"e04",2016-06-28
"29","e04-2016-07-06",0.775758376960111,-0.000287552251522404,0.0457322929565705,"b2_pop_e04_aci_mb_07_06_2016",99.79517288,158.9386711,0.434944881,6.785542207,5.437298456,0.822816466,"2016-07-06",1.178,-0.36,33.61111111,33.6,0.011111111,6.608588267,"R-270",0.283333333,561.0308,2.302,0.627884782157336,1,235,5.96,0.311,22.3,1,"e04",2016-07-06
"30","e10-2016-06-08",0.800511407885041,0.00232105213960701,0.0571945462716762,"b2_pop_e10_aci_mb_06_08_2016",94.05080468,202.9611038,0.937498397,2.066030402,2.792307147,0.400982265,"2016-06-08",1.241,-0.87,32.44444444,33.57,-1.12555556,6.526124191,"52-276",0.31,564.3954,1.309,0.463393245893453,1,265,8.87,0.462,23.3,1,"e10",2016-06-08
"31","e10-2016-06-15",0.807268770599543,0.000608606533466317,0.041927981168098,"b2_pop_e10_aci_mb_06_15_2016",83.66163449,173.5772717,1.862591581,2.304586026,2.656235936,0.418012306,"2016-06-15",1.609,-0.58,31.55555556,31.16,0.39555556,6.781026696,"52-276",0.296666667,571.8975,3.821,0.481984960764883,1,244,3.85,0.252,18.1,-1,"e10",2016-06-15
"32","e10-2016-06-27",0.785340222066833,0.0136824615004129,0.0439336086311897,"b2_pop_e10_aci_mb_06_27_2016",91.03622493,147.6834808,0.900153261,6.092283305,4.258039822,0.730266027,"2016-06-27",1.721,-0.44,27.88888889,32.78,-4.89111111,6.168079689,"52-276",0.356666667,549.0254,1.659,0.616427947369995,1,264,8.09,0.43,22.3,1,"e10",2016-06-27
"33","e10-2016-07-05",0.786303404290542,-0.0241705905675385,0.0482273490370623,"b2_pop_e10_aci_mb_07_05_2016",70.71315634,163.4440449,2.153969531,2.384257306,3.323209579,0.52609865,"2016-07-05",1.875,-0.49,32.11111111,33.6,-1.48888889,6.608588267,"52-276",0.21,561.0308,2.302,0.432644434266568,1,299,6.62,0.477,17.7,1,"e10",2016-07-05
"34","f05-2016-06-08",0.820530933314123,0.0175528248102871,0.0504317127880244,"b2_pop_f05_aci_mb_06_08_2016",93.04693731,178.1668282,1.740081805,5.588344256,5.023328617,0.782597628,"2016-06-08",1.909,-0.33,31.83333333,33.57,-1.73666667,6.526124191,"52-276",0.316666667,564.3954,1.309,0.522246134423804,1,241,3.98,0.41,20.2,1,"f05",2016-06-08
"35","f05-2016-06-15",0.778982834915462,-0.0254371931384849,0.0496009335292574,"b2_pop_f05_aci_mb_06_15_2016",52.43745395,156.6350699,2.345968931,1.988230853,4.694858176,0.641297635,"2016-06-15",1.594,-0.48,30.5,31.16,-0.66,6.781026696,"52-276",0.296666667,571.8975,3.821,0.334774670726533,1,292,7.33,0.288,12.4,1,"f05",2016-06-15
"36","f05-2016-06-23",0.771717956959576,0.0125594519870074,0.0445842609122675,"b2_pop_f05_aci_dl_06_23_2016",77.25354765,138.0261471,0.877436309,2.138995395,2.257103995,0.379902786,"2016-06-23",1.417,-0.54,25.44444444,32.22,-6.77555556,6.551690341,"52-276",0.246666667,391.3776,2.058,0.559702268542132,1,282,8.09,0.438,19.4,-1,"f05",2016-06-23
"37","f05-2016-06-27",0.755825488509462,-0.0102659722370188,0.0398378438014672,"b2_pop_f05_aci_dl_06_27_2016",49.98256148,89.20183563,1.510077105,2.553646922,2.283679742,0.438351751,"2016-06-27",1.784,-0.61,28.61111111,32.78,-4.16888889,6.168079689,"52-276",0.256666667,549.0254,1.659,0.560331086540892,1,298,7.14,0.329,13.2,1,"f05",2016-06-27
"38","f05-2016-07-05",0.773600606032384,-0.0408211888242921,0.0358119968822734,"b2_pop_f05_aci_mb_07_05_2016",75.61323068,138.272677,1.327845435,3.185563504,2.971419085,0.517900331,"2016-07-05",1.824,-0.43,34.11111111,33.6,0.51111111,6.608588267,"52-276",0.223333333,561.0308,2.302,0.546841446340118,1,295,6.95,0.478,18.3,-1,"f05",2016-07-05
