"","X","fname","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date","Plant_ID","uniqueID"
"49",49,"b2_pop_f08_aci_mb_06_08_2016",108.7109332,215.4451724,1.572976105,11.12025694,11.9523879,1.671245813,2016-06-08,"f08","f08-2016-06-08"
"50",50,"b2_pop_f08_aci_mb_06_15_2016",86.60026183,179.7016344,1.599897794,1.796803717,2.073308838,0.307922848,2016-06-15,"f08","f08-2016-06-15"
"51",51,"b2_pop_f08_aci_mb_06_30_2016",45.77901172,99.1757434,1.286068085,1.871231575,2.319228047,0.396646413,2016-06-30,"f08","f08-2016-06-30"
"52",52,"b2_pop_f08_aci_mb_07_05_2016",60.15816515,114.1938763,1.415941051,1.34307197,1.237619269,0.22969597,2016-07-05,"f08","f08-2016-07-05"
"53",53,"b2_pop_g11_aci_dl_06_23_2016",65.74048169,143.8328936,1.452127397,3.636105148,4.723460584,0.781580112,2016-06-23,"g11","g11-2016-06-23"
"54",54,"b2_pop_g11_aci_dl_06_27_2016",93.50441606,149.224381,1.380986503,9.294867875,6.184673883,1.051018524,2016-06-27,"g11","g11-2016-06-27"
"55",55,"b2_pop_g11_aci_mb_06_15_2016",67.09253106,169.6247512,2.70249091,2.857113277,4.416336176,0.625304794,2016-06-15,"g11","g11-2016-06-15"
"56",56,"b2_pop_g11_aci_mb_06_08_2016",54.05364235,142.8684101,2.963677517,1.888221215,3.295611653,0.51732914,2016-06-08,"g11","g11-2016-06-08"
"57",57,"b2_pop_g11_aci_mb_06_30_2016",91.21508949,140.1336857,1.64930276,4.037906893,2.79532513,0.466770529,2016-06-30,"g11","g11-2016-06-30"
"58",58,"b2_pop_g11_aci_mb_07_05_2016",60.27444309,131.4862457,1.28679352,1.604463733,1.974439292,0.333475728,2016-07-05,"g11","g11-2016-07-05"
"59",59,"b2_pop_h06_aci_af_06_16_2016",50.65470157,168.6846653,2.987575545,2.113782665,4.515967108,0.661335641,2016-06-16,"h06","h06-2016-06-16"
"60",60,"b2_pop_h06_aci_af_06_30_2016",99.26903102,157.8189208,1.488251338,3.961824657,2.807270201,0.466197063,2016-06-30,"h06","h06-2016-06-30"
"61",61,"b2_pop_h06_aci_af_07_06_2016",76.9342356,161.0035279,0.311086827,1.462837913,1.639497091,0.238897907,2016-07-06,"h06","h06-2016-07-06"
"62",62,"b2_pop_h06_aci_dl_06_24_2016",78.0539734,138.8400274,1.174245684,2.363331834,2.189654708,0.37464806,2016-06-24,"h06","h06-2016-06-24"
"63",63,"b2_pop_h06_aci_dl_06_28_2016",48.17948132,101.699472,1.205307158,1.486686061,1.729726787,0.311053917,2016-06-28,"h06","h06-2016-06-28"
"64",64,"b2_pop_h06_aci_mb_06_09_2016",97.56199504,165.6308068,0.989752192,8.433321995,6.269438905,1.035866126,2016-06-09,"h06","h06-2016-06-09"
"65",65,"b2_pop_h09_aci_af_06_30_2016",44.34621392,76.9278095,0.98671088,0.894927899,0.751316802,0.140829458,2016-06-30,"h09","h09-2016-06-30"
"66",66,"b2_pop_h09_aci_af_07_06_2016",65.31134424,135.8959032,1.430561417,0.949865064,1.150271715,0.170509777,2016-07-06,"h09","h09-2016-07-06"
"67",67,"b2_pop_h09_aci_dl_06_24_2016",65.16565206,125.3716337,1.764877477,1.976001212,1.785953819,0.313593787,2016-06-24,"h09","h09-2016-06-24"
"68",68,"b2_pop_h09_aci_dl_06_28_2016",49.57619097,89.38423808,0.897242295,2.918071393,2.0837421,0.391071899,2016-06-28,"h09","h09-2016-06-28"
"69",69,"b2_pop_h09_aci_mb_06_09_2016",59.3092072,158.5475806,2.110403123,3.326657874,6.318657919,0.962483281,2016-06-09,"h09","h09-2016-06-09"
"70",70,"b2_pop_h09_aci_mb_06_16_2016",44.20334727,153.8692334,2.535923668,2.066450486,4.421028302,0.676712927,2016-06-16,"h09","h09-2016-06-16"
